日本語,英語,例文,,
垂れ込める,To hang over,嵐雲が谷一面に垂れ込めていた。スモッグが東京上空に垂れ込めていた。,,
倍率,"A magnification, a percentage/ratio",倍率の高い・低い望遠鏡。倍率3倍の双眼鏡。低倍率・高倍率の。光学倍率14倍のカメラレンズ。求人倍率Ratio求職中の人数にたいして、企業が募集している人数がどのくらいか、というもの。例えば、求職中が100人、企業の募集が90人だったら0.9倍。求職100人、募集110人だったら1.1倍。倍率が高ければ売り手市場。(求職中の人が良い状態にあること),,
接眼鏡（せつがんきょう）,An eye piece (for a microscope etc),接眼鏡で得られる倍率。,,
求職者,A job seeker,,,
求婚者,Someone who wants to get married (a suitor),彼は2回目のデートで彼女に求婚した。求婚する＝プロポーズする,,
～と縁組する,To bond with~,人と縁組する「結婚する」婚姻縁組A marriage bond養子縁組An adoption bond,,
測定単位,A unit of measure,,,
気を揉む（もむ）,To worry,私はその結果がどうかと気をもんでいる。困ったことが起きるのではないかと気をもむことがある。試合が延期になるのではないかと彼らは気をもんでいた。気をもませないでねDont make me worry人の成績不振に対して気をもむ。そんなことで気をもむ。,,
危ぶむ（あやぶむ）,To be doubtful of,事の成り行きが悪い結果になるのではないかと不安に思う」彼は死んでるのではないかと危ぶまれてる。最悪の事態を危ぶむ。私は彼の成功を危ぶむ。交渉の成立を危ぶむ。卒業が危ぶまれる。,,
はらはら「と」,To silently continue to fall,小さいものや軽いものが、静かに続けて落ちかかる」涙が彼女の頬をはらはらと流れた。木の葉がハラハラと地面に落ちた。,,
ハラハラする,To be uneasy,それは私にとってハラハラする一瞬だった。私はハラハラしながら結果を待っていました。彼はハラハラして息子を待った。ハラハラするような小説を読んだ。試合の結果をひどくハラハラして待つ。試合の結果をひどくハラハラして待つ。,,
遅れ毛（おくれげ）,Randomly hanging hair,,,
成果主義,A merit based system,成果主義に基づいて給与を支払う。成果主義を採用する。,,
賃金体系,A wage system,成果主義賃金体系。歩合賃金体系。年功序列型賃金体系。,,
下級職,"A junior,entry level job",下級職員An entry level employee,,
歩合（ぶあい）,Commission,歩合給Commission based pay歩合制A commission system,,
公定歩合,The federal bank discount rate,公定歩合の引き下げ・引き上げ。公定歩合の5パーセントから4パーセントへの引き下げ。公定歩合の引き下げは産業界を苦しめてきた厳しい金融逼迫を緩和するだろうと期待されてる。日銀は公定歩合を0.5％引き下げ、4.5％とした。連邦準備制度は公定歩合を18年間で最低の水準に引き下げた。,,
連邦準備制度,The federal reserve system,,,
逼迫する（ひっぱく）,To be tight/stringent (financial),国家財政は厳しく逼迫してる。国の財政は税収の落ち込みで極めて逼迫してる。,,
税収(税収入）,Tax revenue,,,
基本給,Base pay/salary,,,
ワンマンオペ,A one man show,,,
基本的人権,Fundamental human rights,,,
太守（たいしゅ）,A viceroy/governer general,,,
自動回復する,To self replenish/restore/recover,,,
転げ回る（ころげまわる）,To roll around/about,,,
腕の立つ,To be talented,,,
腹違いの（はらちがい）,To be born of a different mother,,,
ちらほら「と」,To be here and there,町では半そで姿の人がちらほらと見える。桜の花びらがちらほらと咲き始める。,,
筋肉質な,To be muscular,,,
握手会（あくしゅかい）,A handshaking event (with a celebrity),,,
彫刻家,A sculptor,,,
店主,A shopkeeper,,,
パティシエ,A pastry chef,,,
画材（がざい）,Painting materials,,,
騎手（きしゅ）,A jockey,,,
タキオン,A tachyon　（Tacky-ahn),学説的な光速より早く動く極微の粒子。A minute partical that hypothetically travels in excess of the speed of light.,,
屋根裏部屋（やねうらべや）,An attic,,,
ふーん,Hmm,,,
自撮り（じどり）する,"A selfie, to take a selfie",,,
送付状・添え状（そえじょう）,A cover letter,,,
繁忙（はんぼう）、閑散（かんさん）、繁閑,"Busyness, non busyness, on and off season","用事が多くて忙しいこと」繁忙期Busy season,非繁忙期Off season最繁忙期The busiest season１年のうちで一番の繁忙期かつ最も利益が出る時期。年初の繁忙期が終わり次第。閑散期The off period市場は今日は閑散としていた。その通りは10時を過ぎると閑散としていた。一か月のうちに繁忙期と閑散期のある会社に変形労働時間制はピッタリです。繁閑On and off season（はんかん）",,
年初の（ねんしょ）,The beginning of the year~,,,
金属片（へん）,A piece of metal,,,
連携する,"Cooperation, combo~",連携攻撃A combo attack連携を促進するTo promote cooperation警察と連携して働くTo work in cooperation with the poh poh.,,
数理,Mathmatics,数学Arithmatic数学的なMathmatical数学者Mathmatician数学的正確さ。数学の問題。数学記号で表す。応用数学Applied mathematics.彼は数学が得意・苦手だ。数学の入門書。,,
秘密の質問,A secret question (online forms),,,
理工,Science and engineering,理工学部,,
優待する,"Prefential treament, to treat preferntially",優待券Complimentary ticket確か使ってない優待券がどこかにあったはず。優待制度A preferential treatment system彼らは優待されたThey were preferntially treated「手厚くもてなすこと」関係者を優待する。,,
遠隔（えんかく）,Remote～,遠隔操作Remote control遠隔教育Remote learningコンピュータの遠隔操作。遠隔でコンピュータを操作する。遠隔監視Remote supervision遠隔処理Remote processing,,
事案（じあん）,A matter getting out of control(legal term),事案の重大性。問題になってる事柄そのもの。,,
締結（ていけつ）する,The execution of a contract/treaty etc,幾多の紆余曲折を経て条約は締結されるに至った。締結日Contract execution day～と協定を締結する。～技術契約を締結する。ドコモと新規契約を締結した。ロシアと自由貿易協定を締結する。,,
自由貿易協定,A free trade agreement,,,
画期的な（かっきてき）,To be break through/ground breaking,画期的なソフトウエア。画期的な医療法。画期的な不妊治療。それは芸術史上画期的なことだった。画期的な作品。画期的な報告書。画期的な大発明をする。画期的な実験。画期的な技術を開発する・,,
小型化する,"Miniaturization, to miniaturize",小型化技術。,,
風通し（かぜとおし）,Communication within a company,風通しの良い企業文化。,,
加給（かきゅう）する,"Raising salaries, to raise a salary",何とかの実務経験がある方は、加給、優遇いたします。,,
風土（ふうど）,An environment,政治的風土。宗教的風土。,,
変貌（へんぼう）する≪自≫,"Transformation, to transform",日本は工業化の結果として急激な変貌を遂げた。急激に変貌した。,,
星団（せいだん）,A star cluster,星団を成型する。,,
積み重ね、積み重ねる,"Accumulation, staking/stacked~、To pile up",積み重ねトレイ。積み重ね試験。積み重ね禁止。積み重ねた椅子Stacked chairs書籍を積み重ねる。煉瓦を一つずつ積み重ねる。皿を食器棚に積み重ねておきなさい。理論を積み重ねる。努力の積み重ねが成功には不可欠だ。そのバッグは彼の後ろに積み重ねられた。部屋の隅に本がきちんと積み重ねられていた。,,
煽てる（おだて）,"Flattery, to flatter",お世辞、褒め言葉。彼を煽てて歌わせる。彼女を煽てて私に同意させる。そんなに煽てるなよ。まず彼を煽てておいたほうがいいよ。,,
